,country,year,season,units
210,Italy,1916,fall,3
211,Italy,1917,fall,3
212,Italy,1918,fall,1
213,Italy,1901,spring,3
214,Italy,1902,spring,4
215,Italy,1903,spring,5
216,Italy,1904,spring,6
217,Italy,1905,spring,6
218,Italy,1906,spring,6
219,Italy,1907,spring,7
220,Italy,1908,spring,6
221,Italy,1909,spring,6
222,Italy,1910,spring,5
223,Italy,1911,spring,5
224,Italy,1912,spring,6
225,Italy,1913,spring,6
226,Italy,1914,spring,6
227,Italy,1915,spring,6
228,Italy,1916,spring,3
229,Italy,1917,spring,3
230,Italy,1918,spring,1
231,Italy,1919,spring,1
232,Italy,1901,winter,3
233,Italy,1902,winter,4
234,Italy,1903,winter,5
235,Italy,1904,winter,6
236,Italy,1905,winter,6
237,Italy,1906,winter,6
238,Italy,1907,winter,6
239,Italy,1908,winter,6
240,Italy,1909,winter,6
241,Italy,1910,winter,5
242,Italy,1911,winter,5
243,Italy,1912,winter,6
244,Italy,1913,winter,5
245,Italy,1914,winter,5
246,Italy,1915,winter,5
247,Italy,1916,winter,3
248,Italy,1917,winter,3
249,Italy,1918,winter,1
250,Russia,1901,fall,4
251,Russia,1902,fall,5
252,Russia,1903,fall,6
253,Russia,1904,fall,5
254,Russia,1905,fall,4
255,Russia,1906,fall,3
256,Russia,1907,fall,3
257,Russia,1901,spring,4
258,Russia,1902,spring,6
259,Russia,1903,spring,6
260,Russia,1904,spring,5
261,Russia,1905,spring,4
262,Russia,1906,spring,3
263,Russia,1907,spring,3
264,Russia,1901,winter,4
265,Russia,1902,winter,5
266,Russia,1903,winter,6
267,Russia,1904,winter,5
268,Russia,1905,winter,4
269,Russia,1906,winter,3
270,Russia,1907,winter,2
271,Turkey,1901,fall,3
272,Turkey,1902,fall,4
273,Turkey,1903,fall,4
274,Turkey,1904,fall,5
275,Turkey,1905,fall,7
276,Turkey,1906,fall,8
277,Turkey,1907,fall,9
278,Turkey,1908,fall,9
279,Turkey,1909,fall,10
280,Turkey,1910,fall,11
281,Turkey,1911,fall,11
282,Turkey,1912,fall,9
283,Turkey,1913,fall,9
284,Turkey,1914,fall,9
285,Turkey,1915,fall,8
286,Turkey,1916,fall,11
287,Turkey,1917,fall,11
288,Turkey,1918,fall,12
289,Turkey,1919,fall,12
290,Turkey,1920,fall,14
291,Turkey,1921,fall,15
292,Turkey,1901,spring,3
293,Turkey,1902,spring,4
294,Turkey,1903,spring,4
295,Turkey,1904,spring,5
296,Turkey,1905,spring,7
297,Turkey,1906,spring,8
298,Turkey,1907,spring,9
299,Turkey,1908,spring,10
300,Turkey,1909,spring,10
301,Turkey,1910,spring,11
302,Turkey,1911,spring,11
303,Turkey,1912,spring,10
304,Turkey,1913,spring,10
305,Turkey,1914,spring,9
306,Turkey,1915,spring,9
307,Turkey,1916,spring,11
308,Turkey,1917,spring,11
309,Turkey,1918,spring,12
310,Turkey,1919,spring,12
311,Turkey,1920,spring,14
312,Turkey,1921,spring,15
313,Turkey,1901,winter,3
314,Turkey,1902,winter,4
315,Turkey,1903,winter,4
316,Turkey,1904,winter,5
317,Turkey,1905,winter,7
318,Turkey,1906,winter,8
319,Turkey,1907,winter,9
320,Turkey,1908,winter,8
321,Turkey,1909,winter,10
322,Turkey,1910,winter,11
323,Turkey,1911,winter,11
324,Turkey,1912,winter,9
325,Turkey,1913,winter,9
326,Turkey,1914,winter,9
327,Turkey,1915,winter,8
328,Turkey,1916,winter,11
329,Turkey,1917,winter,11
330,Turkey,1918,winter,12
331,Turkey,1919,winter,12
332,Turkey,1920,winter,14
333,Turkey,1921,winter,15
